중국,2662164400,3069402052,3804931352,4879804603,3609902813
중앙아프리카공화국,0,9,0,0,0
지부티,0,2742,7855,3616,10003
지브롤터,0,0,0,1059,745
짐바브웨,24,0,316,188,1576
체코공화국,2649823,3033360,3799783,6942552,10626992
칠레,3176445,3676278,5122545,10104546,7720984
카메룬,658,10264,27322,12458,19912
카보베르데,0,10,150,648,0
카이만제도,0,1881,0,0,926
카자흐스탄,22697978,23913250,30973400,44520496,49508669
카타르,971666,1583777,2101782,1848072,1795538
캄보디아,16817324,16703421,18326410,22538503,29084335
캐나다,30160363,32652170,40245204,41072432,57876295
케냐,60036,187717,221093,370169,538268
코스타리카,322591,478100,355111,451176,560439
코트디부아르,7215,18355,22797,33261,15259
콜롬비아,1297888,1811026,1369944,2569207,3885832
콩고공화국,9137,6872,5177,67,8512
콩고민주공화국,0,0,0,1670,9408
쿠웨이트,2850247,7277431,6092937,12815265,13301815
퀴라소,0,0,147,0,80
크로아티아,831826,295413,259825,262009,446426
크리스마스 섬,0,0,0,0,138
키르기즈스탄,11320656,23880861,24386349,39507869,52702879
키리바시,188,673,0,0,0
키프로스,235943,246894,481577,505545,836953
타이완,158505054,154775066,162278909,164741089,199544565
타지키스탄,144139,308877,186186,201197,600654
탄자니아,11664,14223,21122,32651,210079
태국,165355697,140078404,130590031,136369841,154492461
터크스 케이커스 제도,0,0,0,9026,1218
터키,13831680,13481120,16942728,26221340,32521159
토고,997,0,63967,163,24
통가,0,0,0,25,0
투르크메니스탄,67024,165066,263473,192786,68495
튀니지,20507,1018,60904,17459,68085
트리니다드 토바고,2049,902,23452,13050,13062
파나마,662666,461279,476293,368945,351672
파라과이,921814,1285315,953648,1632699,1893493
파키스탄,718953,485331,1043107,1435253,751949
파푸아뉴기니,938,1781,1198,80,0
팔라우,58,25,2497,2393,558
팔레스타인 해방기구,838,42988,7765,18366,54930
페로제도,43,10,0,0,13017
페루,2052848,1647022,1171880,2068549,2547674
포르투갈,31526,43855,99502,219414,415968
포클랜드 제도,0,0,3867,3565,0
폴란드,19871501,21870324,24906425,31800970,35100918
폴리네시아(프),73,165,6498,21514,25047
푸에르토리코,116366,81933,114016,20727,148824
프랑스,67516119,47681623,48091915,56886191,60159238
프렌치 기아나,147,0,13,131,249
피지,162521,102776,126395,198603,166601
핀란드,2525368,2845429,2658354,4210768,3651289
필리핀,40255469,46031924,38044526,42386636,61079536
헝가리,601875,806976,1119269,1709464,2100622
호주,34798454,42752614,46514489,45133598,51720500
홍콩,1313393317,926149745,714206689,577913939,394262668
